"p","n","sim","ARI.Oracle","ARI.vemMB","ARI.vemGlasso","ARI.vemTree","AUC.MB","AUC.vemMB","AUC.Glasso","AUC.vemGlasso","AUC.Tree","AUC.vemTree"
20,20,16,0.643972517176765,-0.0571870170015455,-0.0571870170015455,0.0431150964255006,0.547780797101449,0.551856884057971,0.547780797101449,0.551856884057971,0.673460144927536,0.694142512077295
20,20,17,0.244404044994887,-0.0854611169406553,-0.0854611169406553,0.0510167677488405,0.744980842911877,0.746819923371647,0.744980842911877,0.746819923371647,0.824367816091953,0.798773946360152
20,20,18,1,-0.071245515120451,-0.071245515120451,0.11214953271028,0.530052923387097,0.529989919354839,0.530052923387097,0.529989919354839,0.643523185483871,0.667212701612903
20,20,19,0.117898594990837,-0.0854611169406553,-0.0854611169406553,-0.0696930188455612,0.591765255292653,0.623365504358655,0.591765255292653,0.623365504358655,0.680572851805728,0.638465130759651
20,20,20,0.743274781967817,0.0291695604722691,0.0291695604722691,0.0514679662427196,0.605064102564103,0.600961538461539,0.605064102564103,0.600961538461539,0.745128205128205,0.73974358974359
20,20,21,0.56159466735034,-0.0229457761825407,-0.0229457761825407,0.061281842081407,0.622857142857143,0.636369047619047,0.622857142857143,0.636369047619047,0.769642857142857,0.694880952380952
20,20,22,0.0934481554753869,0,0,0.0450128448564727,0.62794905196121,0.629034592560429,0.62794905196121,0.629034592560429,0.798234187291939,0.809740917643654
20,20,23,0.624218450937859,-0.0546127344647187,-0.0546127344647187,0.387789711701526,0.560357096648984,0.578858843317376,0.560357096648984,0.578858843317376,0.748609134428775,0.763941001423212
20,20,24,0.780929320880895,-0.0841212911640039,-0.0841212911640039,0.0195077690824544,0.651170404321492,0.654771648387625,0.651170404321492,0.654771648387625,0.765919135701424,0.763300049107873
20,20,25,0.828911033737543,0.321513594787621,0.321513594787621,0.139839034205231,0.602812081535485,0.635619699449486,0.602812081535485,0.635619699449486,0.62803154292516,0.607870852551704
20,20,26,0.555087226320103,0,0,0.273779622146991,0.564928571428572,0.618642857142857,0.564928571428572,0.618642857142857,0.744,0.721714285714285
20,20,27,1,0,0,0.220623501199041,0.570375504032258,0.542275705645161,0.570375504032258,0.542275705645161,0.683089717741936,0.739226310483871
20,20,28,0.326408757308123,-0.0479927214829978,-0.0479927214829978,0.107254729983711,0.594050916765598,0.596886954227674,0.594050916765598,0.596886954227674,0.701622477245745,0.693312227938266
20,20,29,0.833853841349157,0.0257659274451993,0.0257659274451993,0.0257659274451993,0.671392297926365,0.694808858795316,0.671392297926365,0.694808858795316,0.82254196642686,0.81090421780223
20,20,30,0.651256166112195,0,0,0.13684800897364,0.703527922797025,0.743078626799557,0.703527922797025,0.743078626799557,0.779465274481886,0.765306122448979
20,20,31,0.229095613312948,-0.0478359908883827,-0.0478359908883827,0.245048037006286,0.651579636601735,0.656163038140449,0.651579636601735,0.656163038140449,0.785234899328858,0.784743820592567
20,20,32,0.331926863572433,-0.0752012072434608,-0.0752012072434608,0.257403941429043,0.613076923076923,0.60724358974359,0.613076923076923,0.60724358974359,0.706923076923077,0.729935897435897
20,20,33,0.456217269516502,-0.00865119937082193,-0.00865119937082193,0.00813276184196063,0.566164712153518,0.589885394456291,0.566164712153518,0.589885394456291,0.755063965884863,0.773720682302771
20,20,34,0.505608881693073,-0.0390450429260261,-0.0390450429260261,0.0819092516205068,0.593670033670034,0.564646464646465,0.593670033670034,0.564646464646465,0.636632996632996,0.638653198653198
20,20,35,0.705159705159705,0.00232018561484922,0.00232018561484922,0.0070921985815603,0.652223882312378,0.668026663601884,0.652223882312378,0.668026663601884,0.735892426157913,0.7121020572348
20,20,36,0.503722084367246,-0.0154257257378841,-0.0154257257378841,0.0464385052606119,0.545858585858586,0.567407407407407,0.545858585858586,0.567407407407407,0.617912457912458,0.629023569023569
20,20,37,0.544672483716357,-0.000111994624258069,-0.000111994624258069,-0.0426699518423116,0.664679487179487,0.659166666666667,0.664679487179487,0.659166666666667,0.754743589743589,0.742884615384615
20,20,38,0.207471889735219,-0.0533927925756297,-0.0533927925756297,0.0518316887830328,0.78625,0.800750000000001,0.78625,0.800750000000001,0.863166666666667,0.8435
20,20,39,0.936758016198824,0.0625346490741767,0.0625346490741767,0.0712742980561555,0.683351370851371,0.709054834054835,0.683351370851371,0.709054834054835,0.784992784992785,0.764971139971141
20,20,40,0.322154834106315,0.0493278075406853,0.0493278075406853,0.106944304053371,0.597357142857143,0.630285714285714,0.597357142857143,0.630285714285714,0.731428571428572,0.686714285714285
20,20,41,0.449362419643798,-0.0689170182841069,-0.0689170182841069,0.0296329554383208,0.567118721985979,0.553959315021262,0.567118721985979,0.553959315021262,0.644178830019538,0.663889208136996
20,20,42,0.649486913409432,-0.000768133435751058,-0.000768133435751058,0.00567865493820291,0.602752770083102,0.64819944598338,0.602752770083102,0.64819944598338,0.775796398891966,0.717451523545706
20,20,43,0.219497240956468,-0.0442198357548957,-0.0442198357548957,-0.0450555880631949,0.682861877145224,0.66824476269381,0.682861877145224,0.66824476269381,0.694520061545745,0.691975381701977
20,20,44,0.597106149432456,-0.0816405744598266,-0.0816405744598266,0.238869177063065,0.626099706744868,0.585166177908113,0.626099706744868,0.585166177908113,0.700635386119257,0.721041055718475
